name,nameraw
venbee,venbee
Special guest TBA,Special guest TBA
Zoe London,Zoe London
Jodie Harsh,Jodie Harsh
Melanie C,Melanie C
Mr Doris,Mr Doris
Jonathan Ulysses,Jonathan Ulysses
Doorly,Doorly
DJ Laj,DJ Laj
DJ Spoony,DJ Spoony
Rendher,Rendher
Keeks B2B Josh Holland,Keeks B2B Josh Holland 
Latmun,Latmun 
Lee Foss B2B Marshall Jefferson,Lee Foss B2B Marshall Jefferson 
Seb Zito b2b Hector Couto,Seb Zito b2b Hector Couto
Tomi & Kesh,Tomi & Kesh 
DXNBY,DXNBY 
Goosey,Goosey
Jansons,Jansons (live) 
Mason Maynard,Mason Maynard 
Riley,Riley 
Toby Simpson,Toby Simpson
Ratpack,Ratpack
Rob Tissera,Rob Tissera
Slipmatt,Slipmatt
Dolly Rockers,Dolly Rockers
Matty Robbo,Matty Robbo
Sammy Dean,Sammy Dean
Si Carvell,Si Carvell
Miss Bisto,Miss Bisto
MC Chalkie White,MC Chalkie White
Marcella Woods,Marcella Woods (live PA)
Darren Jay,Darren Jay
Dirty Herbert,Dirty Herbert
Mark XTC,Mark XTC
Q-Kraft,Q-Kraft
Filtah,Filtah
Wizrd,Wizrd
Altitude,Altitude
DJ Uniques,DJ Uniques
Lewis Bones,Lewis Bones
Mr Hall,Mr Hall
Leggo Dan,Leggo Dan
Black Coffee,Black Coffee
Shoba,Shoba
Damian Lazarus,Damian Lazarus
Mathew Jonson,Mathew Jonson (live)
Meera,Meera
Bora Uzer,Bora Uzer (live)
Kiddy Smile,Kiddy Smile
Sophie Ellis-Bextor,Sophie Ellis-Bextor
Nic Fanciulli,Nic Fanciulli
Eddy M B2B Jackmaster,Eddy M B2B Jackmaster
Mahony,Mahony
Dave Lee,Dave Lee
DJ Spen,DJ Spen
Jamie 3-26,Jamie 3-26
Barbara Tucker,Barbara Tucker (live PA)
Bobby & Steve,Bobby & Steve
Crakazat,Crakazat
Femi Fem,Femi Fem
Aitch B,Aitch B
Lloyd Life,Lloyd Life
Selly J,Selly J
DJ Bigger,DJ Bigger
Joshwa,Joshwa
Skyhigh,Skyhigh
Chlo,Chlo
Molly D,Molly D
Booka Shade,Booka Shade
Henry Saiz,Henry Saiz
Los Suruba,Los Suruba
Magnetizm,Magnetizm
Bestley,Bestley
Dimitri From Paris,Dimitri From Paris
Kenny Dope,Kenny Dope
Catz 'N Dogz,Catz 'N Dogz
Sam Karlson,Sam Karlson
Eileen,Eileen
KEINEMUSIK,"KEINEMUSIK (&Me, Adam Port & Rampa)"
K-Klass,K-Klass (DJ set)
Utah Saints,Utah Saints
Freestylers,Freestylers
Graham Gold,Graham Gold
Edele Andaya,Edele Andaya
Chris Bayne,Chris Bayne
Raphi,Raphi
Todd Terry,Todd Terry
Tristan Ingram,Tristan Ingram
Grant Richards,Grant Richards
Mitchell T,Mitchell T
Hollis,Hollis
Juliet Thurbz,Juliet Thurbz
Cristina Tosio,Cristina Tosio
Niom,Niom
Shimza,Shimza
